ID,Geschlecht,Alterskategorie,Kanton,Ausbildung
L-08897,Mann,56+,Süd,DualBachelor
L-34255,Frau,56+,Süd,Master
L-23121,Mann,16-35,Nord,GrundschuleLehre
L-44194,Mann,36-55,Nord,AbiturMeister
L-56141,Mann,56+,Nord,Master
L-22034,Frau,16-35,Nord,DualBachelor
L-55951,Mann,16-35,Nord,AbiturMeister
L-07849,Mann,36-55,Süd,AbiturMeister
L-28652,Frau,36-55,Nord,Master
L-29800,Mann,36-55,Nord,AbiturMeister
L-29377,Mann,36-55,Nord,AbiturMeister
L-56223,Mann,36-55,Nord,AbiturMeister
L-25874,Mann,56+,Nord,GrundschuleLehre
L-63408,Frau,16-35,Süd,Master
L-50605,Mann,56+,Nord,AbiturMeister
L-04349,Mann,56+,Süd,AbiturMeister
L-27032,Frau,16-35,Nord,AbiturMeister
L-21979,Mann,36-55,Nord,Master
L-24043,Frau,56+,Nord,AbiturMeister
L-00824,Mann,16-35,Süd,GrundschuleLehre
L-22279,Mann,36-55,Nord,AbiturMeister
L-21836,Frau,16-35,Nord,AbiturMeister
L-60078,Mann,56+,Süd,GrundschuleLehre
L-32198,Mann,56+,Nord,Master
L-44766,Frau,16-35,Nord,AbiturMeister
L-52578,Frau,56+,Nord,Master
L-31557,Frau,56+,Nord,Master
L-42398,Frau,36-55,Süd,AbiturMeister
L-35580,Mann,56+,Süd,AbiturMeister
L-30548,Frau,16-35,Nord,GrundschuleLehre
L-52239,Frau,56+,Nord,DualBachelor
L-49540,Frau,36-55,Nord,Master
L-61181,Mann,36-55,Süd,AbiturMeister
L-41941,Mann,36-55,Süd,AbiturMeister
L-05311,Frau,16-35,Süd,AbiturMeister
L-55892,Frau,16-35,Nord,GrundschuleLehre
L-44198,Mann,16-35,Nord,GrundschuleLehre
L-31231,Frau,36-55,Nord,DualBachelor
L-55169,Frau,36-55,Nord,GrundschuleLehre
L-08082,Frau,56+,Süd,DualBachelor
L-55205,Frau,16-35,Nord,GrundschuleLehre
L-46337,Frau,56+,Nord,DualBachelor
L-27530,Frau,16-35,Nord,Master
L-24675,Mann,36-55,Nord,GrundschuleLehre
L-06482,Frau,16-35,Süd,AbiturMeister
L-31163,Mann,56+,Nord,AbiturMeister
L-24007,Mann,16-35,Nord,AbiturMeister
L-06827,Frau,36-55,Süd,AbiturMeister
L-46826,Mann,36-55,Nord,AbiturMeister
L-63971,Mann,56+,Süd,AbiturMeister
L-58487,Frau,36-55,Süd,AbiturMeister
L-34936,Frau,36-55,Süd,AbiturMeister
L-49834,Frau,16-35,Nord,AbiturMeister
L-44746,Frau,56+,Nord,GrundschuleLehre
L-32918,Mann,56+,Nord,Master
L-49420,Mann,36-55,Nord,GrundschuleLehre
L-16637,Mann,56+,Süd,DualBachelor
L-27424,Frau,56+,Nord,GrundschuleLehre
L-22347,Frau,36-55,Nord,DualBachelor
L-01424,Mann,36-55,Süd,AbiturMeister
L-60880,Mann,36-55,Süd,Master
L-30159,Mann,56+,Nord,Master
L-30462,Mann,16-35,Nord,GrundschuleLehre
L-53241,Mann,16-35,Nord,AbiturMeister
L-19556,Mann,56+,Nord,DualBachelor
L-33119,Frau,16-35,Nord,AbiturMeister
L-21696,Frau,36-55,Nord,AbiturMeister
L-48739,Mann,56+,Nord,DualBachelor
L-01906,Mann,36-55,Süd,DualBachelor
L-42772,Mann,56+,Süd,Master
L-38697,Mann,56+,Süd,AbiturMeister
